clean_address,lon,lat
"150 RAINTREE DR, ASHEVILLE, NC",-80.7003273,35.0575088
"150 MILLER AVE, ASHEVILLE, NC",-82.0000489,35.6828273
"150 I240 E & I240 W TO TUNNEL RD AND I240 E TO TUNNEL RD, ASHEVILLE, NC",-97.4297082,35.3913717
"150 I240 E & I240 W TO TUNNEL RD AND I240 E X7 TO TUNNEL RD, ASHEVILLE, NC",-97.4297082,35.3913717
"150 I240 E & I240 W TO TUNNEL RD, ASHEVILLE, NC",-97.4297082,35.3913717
"150 I40 E TO CHARLOTTE HWY, ASHEVILLE, NC",-79.0192997,35.7595731
"150 CORDIAL CT, ASHEVILLE, NC",-73.087749,41.6032207
"150 EASTLAND, ASHEVILLE, NC",-80.4101131,35.5766043
"1250 WINKLES RD, ASHEVILLE, NC",-80.3258702,33.9589187
"150 BIRD SONG LN, ASHEVILLE, NC",-79.0610738,34.9349837
"1050 E HIAWATHA ST, ASHEVILLE, NC",-82.0369794,32.3931945
"150 BRANDI KING AVE, ASHEVILLE, NC",-80.3592197,36.2806939
"US 70, ASHEVILLE, NC",-82.5545518,35.5990948
"US 25A AND I40, ASHEVILLE, NC",-82.553946,35.5582803
"WB I240 EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"WOOD LINE NEAR SQUARE D, ASHEVILLE, NC",-82.5514869,35.5950581
"WESTGATE, ASHEVILLE, NC",-82.5757876,35.5909447
"US 70 AND PARKWAY, ASHEVILLE, NC",-82.5545518,35.5990948
"WOOD AVE AND CEADER ST, ASHEVILLE, NC",-82.5135861,35.5678608
"US 25, ASHEVILLE, NC",-82.5517531,35.5949903
"US25 AND 70 JUPITER RD, ASHEVILLE, NC",-82.5517531,35.5949903
"US 25 HWY S AND I26, ASHEVILLE, NC",-82.5517531,35.5949903
"WESTGATE AND CRAVEN CONNECTOR, ASHEVILLE, NC",-82.5757876,35.5909447
"US HWY 70 AND PARKWAY ENTRANCE, ASHEVILLE, NC",-82.5514869,35.5950581
"US 19 23 N  AND  HILL ST, ASHEVILLE, NC",-82.5642395,35.5941983
"TUNNEL RD AND I240/EXIT 7, ASHEVILLE, NC",-82.5268583,35.5867988
"TUNNEL RD AND I240 W ON RAMP, ASHEVILLE, NC",-82.4908589,35.5873703
"US 25 AND PARKWAY, ASHEVILLE, NC",-82.5517531,35.5949903
"US 19 AND 23/I 240, ASHEVILLE, NC",-82.5688754,35.5946356
"TUNNEL RD AND 240 EXIT 7, ASHEVILLE, NC",-82.4908589,35.5873703
"TUNNEL RD AND I 240 EB, ASHEVILLE, NC",-82.5268583,35.5867988
"TUNNEL RD AND I 240 WEST ON RAMP, ASHEVILLE, NC",-82.4908589,35.5873703
"TUNNEL RD AND I 240 WB EXIT 6, ASHEVILLE, NC",-82.4908589,35.5873703
"TUNNEL RD AND I240 EXIT 6, ASHEVILLE, NC",-82.5268583,35.5867988
"TUNNEL RD AND I 240, ASHEVILLE, NC",-82.5268583,35.5867988
"TUNNEL RD AND RUSSELL RD, ASHEVILLE, NC",-82.5268583,35.5867988
"THE ORANGE PEEL, ASHEVILLE, NC",-82.5510137,35.5914061
"US 19 AND I 26, ASHEVILLE, NC",-82.5781638,35.589491
"TUNNEL RD AND I240 EXIT 7, ASHEVILLE, NC",-82.5268583,35.5867988
"TUNNEL RD AND I 240 EXIT 6, ASHEVILLE, NC",-82.4908589,35.5873703
"TUNNEL RD AND SERVICE RD, ASHEVILLE, NC",-82.5268583,35.5867988
"US 25 AND 70 JUPITER RD, ASHEVILLE, NC",-82.5517531,35.5949903
"TUNNEL RD AND 1-240, ASHEVILLE, NC",-82.4908589,35.5873703
"TUNNEL RD AND  I240, ASHEVILLE, NC",-82.5268583,35.5867988
"UNDER 240 BRIDGE AT N LEXINGTON AVE, ASHEVILLE, NC",-82.5545518,35.5990948
"US 25 AND  I40, ASHEVILLE, NC",-82.5523204,35.5405665
"TUNNEL RD AND I-240 W/EXIT 7, ASHEVILLE, NC",-82.4908589,35.5873703
"TRANSIT, ASHEVILLE, NC",-82.5556973,35.5928145
"PATTON AVE AND BILTMORE AVE, ASHEVILLE, NC",-82.551941,35.594935
"S FRENCH BROAD, ASHEVILLE, NC",-82.5595281,35.5848329
"STEWART ST AND SHORT MICHIGAN, ASHEVILLE, NC",-82.5785081,35.5679551
"RIVERSIDE DR, ASHEVILLE, NC",-82.5776278,35.6231211
"SMOKEY PARK HWY AND MCDONALDS, ASHEVILLE, NC",-82.640384,35.557829
"N LEXINGTON UNDER 240, ASHEVILLE, NC",-82.5541643,35.5990953
"SMOKY PARK HWY EXIT 44, ASHEVILLE, NC",-82.640384,35.557829
"N LEXINGTON AVE AND I240 BRIDGE, ASHEVILLE, NC",-82.5545518,35.5990948
"N LEXINGTON AVE AND  I 240, ASHEVILLE, NC",-82.5541643,35.5990953
"N LEXINGTON AND I 240, ASHEVILLE, NC",-82.5541643,35.5990953
"N LEXINGTON AT I 240, ASHEVILLE, NC",-82.5541643,35.5990953
"PRITCHARD PARK, ASHEVILLE, NC",-82.5544579,35.5947264
"PATTON AVE NEAR COXE AVE, ASHEVILLE, NC",-82.5563031,35.5943559
"S FRENCH BROAD AVE, ASHEVILLE, NC",-82.5595281,35.5848329
"STATE ST AND I 240 BRIDGE, ASHEVILLE, NC",-82.5545518,35.5990948
"PACK SQ, ASHEVILLE, NC",-82.551177,35.5950405
"N LEXINGTON AND WASHINGTON, ASHEVILLE, NC",-82.5535024,35.5972882
"PATTON AVE NEAR LEXINGTON AVE, ASHEVILLE, NC",-82.561404,35.592814
"RANKIN AVE AND PVA, ASHEVILLE, NC",-82.5536963,35.5954901
"N PACK AND COLLEGE ST, ASHEVILLE, NC",-82.551177,35.5950405
"RIVERSIDE DR NEAR HILL ST, ASHEVILLE, NC",-82.5776278,35.6231211
"MILE MARKER 42 EB, ASHEVILLE, NC",-82.5514869,35.5950581
"N LEXINGTON AVE AND I240 OVERPASS, ASHEVILLE, NC",-82.5545518,35.5990948
"NC 63 AND HOT SPOT, ASHEVILLE, NC",-82.6049069,35.5921199
"MATTHEWS FORD ON BILTMORE AVE, ASHEVILLE, NC",-82.60193,35.550719
"N LEXINGTON AVE AND HIAWASEE ST, ASHEVILLE, NC",-82.55376,35.5979765
"NC 81 AND WOOD AVE, ASHEVILLE, NC",-82.5200995,35.5776961
"ON RAMP I 240 WEST BOUND AT AMBOY RD, ASHEVILLE, NC",-82.5545518,35.5990948
"NC 81 AND S TUNNEL RD, ASHEVILLE, NC",-82.5200995,35.5776961
"NORTH LEXINGTON AVE  AND  I-240, ASHEVILLE, NC",-82.5541643,35.5990953
"NC 81 AT S TUNNEL RD, ASHEVILLE, NC",-82.5200995,35.5776961
"PORTERS COVE RD AND RAILROAD, ASHEVILLE, NC",-82.4596176,35.5674362
"RIDGECEST EXIT AT I 40, ASHEVILLE, NC",-82.553946,35.5582803
"S TUNNEL RD AND NC 81, ASHEVILLE, NC",-82.5200995,35.5776961
"LONGS SHOALS RD AND I26E MILE MARKER 37, ASHEVILLE, NC",-82.5296885,35.4262187
"ON RAMP I 26 AT HAYWOOD RD, ASHEVILLE, NC",-82.5688754,35.5946356
"RANKIN PARKING GARAGE AT COLLEGE ST, ASHEVILLE, NC",-82.5536963,35.5954901
"MISSON HOSPITAL, ASHEVILLE, NC",-82.549222,35.576583
"ON RAMP AND 126W/240W, ASHEVILLE, NC",-82.5514869,35.5950581
"PACK SQUARE, ASHEVILLE, NC",-82.551177,35.5950405
"N LEXINGTON AVE AND I 240, ASHEVILLE, NC",-82.5541643,35.5990953
"MISSION HOSPITAL, ASHEVILLE, NC",-82.549222,35.576583
"S FRENCH BROAD AV, ASHEVILLE, NC",-82.5595281,35.5848329
"N LEXINGTON AND  I 240, ASHEVILLE, NC",-82.5541643,35.5990953
"S CHARLOTTE ST AND BELMONT ST, ASHEVILLE, NC",-82.5463745,35.6060325
"RANKIN AVE PARKING DECK, ASHEVILLE, NC",-82.5536963,35.5954901
"N LEXINGTON AVE, ASHEVILLE, NC",-82.5535024,35.5972882
"PRTICHERD PARK, ASHEVILLE, NC",-82.5544579,35.5947264
"N LEXINGON AVE, ASHEVILLE, NC",-82.5535024,35.5972882
"RANKIN PARKING DECK, ASHEVILLE, NC",-82.5536963,35.5954901
"NEW LEICESTER HWY AND JORDANS HOT SPOT, ASHEVILLE, NC",-82.6049069,35.5921199
"PACKS SQUARE, ASHEVILLE, NC",-82.551177,35.5950405
"NEW LECIESTER HWY AND HOT SPOT PVA, ASHEVILLE, NC",-82.6049069,35.5921199
"MONTFORD AVE AND I 240, ASHEVILLE, NC",-82.5645374,35.6025874
"SHORT MICHIGAN AVE, ASHEVILLE, NC",-82.5785081,35.5679551
"SPRINGVILLE AVE, ASHEVILLE, NC",-82.5514869,35.5950581
"S FRENCH BROAD AND HILLIARD, ASHEVILLE, NC",-82.5589742,35.5911269
"S. FRENCH BROAD AND HILLIARD, ASHEVILLE, NC",-82.5589742,35.5911269
"S FRENCH BROAD AVE AND HILLIARD AVE, ASHEVILLE, NC",-82.5589742,35.5911269
"MM 54 AND I40EB, ASHEVILLE, NC",-82.5514869,35.5950581
"PATTON AVE AND I26, ASHEVILLE, NC",-82.5781638,35.589491
"ORANGE ST AND HAYWOOD ST, ASHEVILLE, NC",-82.5630739,35.593016
"ORANGE PEEL, ASHEVILLE, NC",-82.5510137,35.5914061
"PATTON AVE AND I26 E, ASHEVILLE, NC",-82.5781638,35.589491
